Countries;RD
EU;114,6
Belgium;148,9
Bulgaria;43,4
Czechia;94,9
Denmark;166,9
Germany;177,2
Estonia;50,2
Ireland;61,4
Greece;45,1
Spain;54,5
France;119,7
Croatia;33,9
Italy;69,1
Cyprus;15
Latvia;9,9
Lithuania;25,3
Luxembourg;56,2
Hungary;82,8
Malta;27
Netherlands;98,3
Austria;188,4
Poland;55,4
Portugal;55,4
Romania;22,8
Slovenia;117,2
Slovakia;39,1
Finland;152,4
Sweden;205,6
United Kingdom;94
Iceland;113,7
Israel;220,2
North Macedonia;5,6
Norway;92,3
Serbia;25,3
Switzerland;203
Turkey;45,1
Ukraine;20,3
